X:Pos_TX-Body2-基础接触模型(m),Y:Pos_TX-Body2-基础接触模型(m),Y:Pos_TY-Body2-基础接触模型(m),Y:Pos_TZ-Body2-基础接触模型(m)
0.0000000,0.0000000,0.0000000,0.0000000
0.0010130000,0.0000000,-5.0316401e-06,0.0000000
0.0020370000,0.0000000,-2.0345705e-05,0.0000000
0.0030610000,0.0000000,-4.5942787e-05,0.0000000
0.0040850000,0.0000000,-8.1822888e-05,0.0000000
0.0051090000,0.0000000,-0.00012798601,0.0000000
0.0061330000,0.0000000,-0.00018443214,0.0000000
0.0071570000,0.0000000,-0.00025116130,0.0000000
0.0081810000,0.0000000,-0.00032817347,0.0000000
0.0092050000,0.0000000,-0.00041546866,0.0000000
0.010229000,0.0000000,-0.00051304686,0.0000000
0.011253000,0.0000000,-0.00062090809,0.0000000
0.012253000,0.0000000,-0.00073616565,0.0000000
0.013253000,0.0000000,-0.00086122985,0.0000000
0.014253000,0.0000000,-0.00099610071,0.0000000
0.015253000,0.0000000,-0.0011407782,0.0000000
0.016253000,0.0000000,-0.0012952624,0.0000000
0.017253000,0.0000000,-0.0014595532,0.0000000
0.018253000,0.0000000,-0.0016336506,0.0000000
0.019253000,0.0000000,-0.0018175547,0.0000000
0.020253000,0.0000000,-0.0020112655,0.0000000
0.021253000,0.0000000,-0.0022147829,0.0000000
0.022253000,0.0000000,-0.0024281070,0.0000000
0.023253000,0.0000000,-0.0026512377,0.0000000
0.024253000,0.0000000,-0.0028841750,0.0000000
0.025253000,0.0000000,-0.0031269190,0.0000000
0.026253000,0.0000000,-0.0033794697,0.0000000
0.027253000,0.0000000,-0.0036418270,0.0000000
0.028253000,0.0000000,-0.0039139910,0.0000000
0.029253000,0.0000000,-0.0041959616,0.0000000
0.030253000,0.0000000,-0.0044877388,0.0000000
0.031253000,0.0000000,-0.0047893227,0.0000000
0.032253000,0.0000000,-0.0051007133,0.0000000
0.033253000,0.0000000,-0.0054219105,0.0000000
0.034253000,0.0000000,-0.0057529144,0.0000000
0.035253000,0.0000000,-0.0060937249,0.0000000
0.036253000,0.0000000,-0.0064443420,0.0000000
0.037253000,0.0000000,-0.0068047658,0.0000000
0.038253000,0.0000000,-0.0071749963,0.0000000
0.039253000,0.0000000,-0.0075550334,0.0000000
0.040253000,0.0000000,-0.0079448772,0.0000000
0.041253000,0.0000000,-0.0083445276,0.0000000
0.042253000,0.0000000,-0.0087539846,0.0000000
0.043253000,0.0000000,-0.0091732483,0.0000000
0.044253000,0.0000000,-0.0096023187,0.0000000
0.045253000,0.0000000,-0.010041196,0.0000000
0.046253000,0.0000000,-0.010489879,0.0000000
0.047253000,0.0000000,-0.010948370,0.0000000
0.048253000,0.0000000,-0.011416667,0.0000000
0.049253000,0.0000000,-0.011894770,0.0000000
0.050253000,0.0000000,-0.012382680,0.0000000
0.051253000,0.0000000,-0.012880397,0.0000000
0.052253000,0.0000000,-0.013387921,0.0000000
0.053253000,0.0000000,-0.013905251,0.0000000
0.054253000,0.0000000,-0.014432388,0.0000000
0.055253000,0.0000000,-0.014969332,0.0000000
0.056253000,0.0000000,-0.015516082,0.0000000
0.057253000,0.0000000,-0.016072638,0.0000000
0.058253000,0.0000000,-0.016639002,0.0000000
0.059253000,0.0000000,-0.017215172,0.0000000
0.060253000,0.0000000,-0.017801149,0.0000000
0.061253000,0.0000000,-0.018396932,0.0000000
0.062253000,0.0000000,-0.019002522,0.0000000
0.063253000,0.0000000,-0.019617919,0.0000000
0.064253000,0.0000000,-0.020243122,0.0000000
0.065253000,0.0000000,-0.020878132,0.0000000
0.066253000,0.0000000,-0.021522949,0.0000000
0.067253000,0.0000000,-0.022177572,0.0000000
0.068253000,0.0000000,-0.022842002,0.0000000
0.069253000,0.0000000,-0.023516239,0.0000000
0.070253000,0.0000000,-0.024200282,0.0000000
0.071253000,0.0000000,-0.024894132,0.0000000
0.072253000,0.0000000,-0.025597789,0.0000000
