X:Pos_TX-Body1-complex_contact(mm),Y:Pos_TX-Body1-complex_contact(mm),Y:Pos_TY-Body1-complex_contact(mm),Y:Pos_TZ-Body1-complex_contact(mm)
0.0000000,50.000000,50.000000,30.000000
0.0010130000,50.000000,50.000000,29.994968
0.0020370000,50.000000,50.000000,29.979654
0.0030610000,50.000000,50.000000,29.954057
0.0040850000,50.000000,50.000000,29.918177
0.0051090000,50.000000,50.000000,29.872014
0.0060050000,50.008192,50.002737,29.859821
0.0070290000,50.024640,50.008160,29.866993
0.0080530000,50.041162,50.013607,29.864201
0.0090770000,50.057686,50.019055,29.851135
0.010101000,50.076358,50.025264,29.837961
0.011125000,50.099271,50.032967,29.834518
0.012149000,50.123668,50.041201,29.827892
0.013045000,50.146940,50.049102,29.822994
0.014069000,50.175340,50.058794,29.816614
0.015093000,50.205762,50.069236,29.810017
0.016117000,50.238158,50.080423,29.803107
0.017397000,50.281071,50.095235,29.791108
0.018421000,50.317793,50.107733,29.778620
0.019445000,50.357392,50.120867,29.765852
0.020213000,50.389135,50.130706,29.756815
0.021109000,50.428002,50.142215,29.745470
0.022133000,50.474868,50.155682,29.731773
0.023029000,50.518050,50.167853,29.719418
0.024053000,50.569792,50.182214,29.704569
0.025077000,50.624062,50.197055,29.688861
0.026101000,50.680861,50.212367,29.672277
0.027125000,50.740497,50.227938,29.655757
0.028149000,50.802711,50.243568,29.638165
0.029045000,50.859596,50.257278,29.624636
0.030069000,50.926551,50.273125,29.611602
0.031093000,50.993626,50.288982,29.588942
0.032117000,51.064070,50.304751,29.576055
0.033141000,51.136254,50.320472,29.563297
0.034165000,51.209012,50.336140,29.543747
0.035189000,51.283981,50.351288,29.528324
0.036213000,51.360405,50.366056,29.511691
0.037109000,51.429224,50.378152,29.499393
0.038133000,51.509788,50.391204,29.486774
0.039029000,51.581715,50.401959,29.476601
0.040053000,51.664935,50.413673,29.461466
0.041077000,51.749777,50.424606,29.444630
0.042101000,51.836836,50.434830,29.429995
0.043253000,51.936917,50.445006,29.420099
0.044021000,52.004353,50.450924,29.417352
0.045173000,52.106042,50.459002,29.412538
0.046069000,52.185588,50.464589,29.408337
0.047093000,52.277018,50.470159,29.403013
0.048117000,52.369020,50.474795,29.395918
0.049013000,52.450084,50.477916,29.388788
0.050037000,52.543532,50.480083,29.379419
0.051061000,52.638018,50.480423,29.369680
0.052085000,52.733528,50.478954,29.359412
0.053109000,52.830067,50.475672,29.348602
0.054133000,52.927644,50.470556,29.337315
0.055157000,53.026257,50.463610,29.325469
0.056181000,53.125461,50.452877,29.319747
0.057077000,53.212366,50.440761,29.317268
0.058101000,53.311690,50.424803,29.313067
0.059125000,53.411018,50.406358,29.308279
0.060149000,53.510350,50.385436,29.302840
0.061429000,53.634520,50.355787,29.295115
0.062453000,53.733860,50.329262,29.288183
0.063477000,53.833018,50.300294,29.281103
0.064245000,53.907104,50.277109,29.275836
0.065013000,53.981038,50.252790,29.269388
0.066037000,54.077468,50.215460,29.270652
0.067317000,54.196400,50.165217,29.271441
0.068341000,54.290516,50.122605,29.270057
0.069109000,54.360465,50.089128,29.268329
0.070133000,54.453146,50.042796,29.264672
0.071029000,54.533728,50.000701,29.260196
0.072053000,54.625331,49.950734,29.254855
0.073077000,54.716375,49.898853,29.248545
0.074229000,54.818403,49.838383,29.240915
0.075253000,54.908611,49.782621,29.233705
0.076021000,54.976033,49.739600,29.228196
0.077045000,55.065632,49.680661,29.220658
0.078069000,55.154864,49.619910,29.212870
0.079093000,55.241700,49.555814,29.211294
0.080117000,55.325717,49.488491,29.214774
0.081141000,55.408047,49.419481,29.217044
0.082037000,55.478429,49.357804,29.220214
0.083061000,55.557717,49.286258,29.220908
0.084085000,55.635765,49.213343,29.218397
0.085109000,55.711282,49.137998,29.218041
0.086005000,55.775836,49.070780,29.218007
0.087029000,55.848010,48.992170,29.216022
0.088053000,55.917738,48.911635,29.215386
0.089205000,55.993474,48.819071,29.215135
0.090229000,56.058469,48.735012,29.214702
0.091253000,56.121166,48.649224,29.214262
0.092021000,56.166337,48.583666,29.215224
0.093173000,56.231929,48.483934,29.215213
0.094197000,56.287986,48.393826,29.214100
0.095221000,56.342341,48.302532,29.210700
0.096117000,56.386929,48.221355,29.213036
0.097013000,56.429285,48.139763,29.218280
0.098037000,56.475654,48.046074,29.223502
0.099061000,56.519552,47.951860,29.229240
0.10008500,56.561155,47.857201,29.234957
0.10110900,56.600661,47.762161,29.239924
0.10200500,56.633504,47.678613,29.243250
0.10302900,56.669214,47.582664,29.244965
0.10405300,56.702759,47.486098,29.244978
0.10507700,56.734282,47.388818,29.241967
0.10610100,56.760986,47.292228,29.244346
0.10712500,56.776488,47.202401,29.271832
0.10802100,56.789659,47.124044,29.288682
0.10904500,56.804708,47.034496,29.298313
0.11006900,56.818347,46.945609,29.303696
0.11109300,56.827994,46.858586,29.315952
0.11211700,56.835768,46.772421,29.326120
0.11339700,56.842525,46.666042,29.337525
0.11442100,56.845786,46.581924,29.344435
0.11544500,56.847972,46.498158,29.346894
0.11608500,56.848464,46.446088,29.348788
0.11710900,56.842852,46.369899,29.369723
0.11813300,56.834617,46.296755,29.390155
0.11915700,56.824093,46.226285,29.408831
0.12018100,56.811314,46.158454,29.425740
0.12120500,56.796305,46.093238,29.440925
0.12222900,56.779087,46.030619,29.454436
0.12325300,56.759681,45.970578,29.466333
0.12427700,56.738108,45.913097,29.476682
0.12530100,56.714393,45.858157,29.485557
0.12681300,56.675515,45.781628,29.496152
0.12781300,56.647310,45.733991,29.501638
0.12881300,56.617147,45.688705,29.506016
0.12981300,56.585049,45.645750,29.509387
0.13081300,56.551044,45.605104,29.511848
0.13181300,56.515159,45.566742,29.513499
0.13281300,56.477428,45.530637,29.514435
0.13381300,56.437883,45.496758,29.514746
0.13431300,56.417513,45.480915,29.514964
0.13506300,56.386033,45.459485,29.518018
0.13606300,56.343450,45.432748,29.519272
0.13706300,56.300138,45.409248,29.520919
0.13806300,56.255995,45.388312,29.520512
0.13906300,56.210607,45.370218,29.518654
0.14006300,56.163907,45.355267,29.516186
0.14106300,56.115835,45.343735,29.513676
0.14206300,56.066532,45.335458,29.510859
0.14300050,56.019333,45.330554,29.507718
0.14400050,55.968019,45.328501,29.504301
0.14500050,55.915958,45.329249,29.499577
0.14600050,55.863551,45.331061,29.488160
0.14700050,55.809635,45.336449,29.476805
0.14812550,55.747396,45.346186,29.462368
0.14912550,55.690713,45.357997,29.447760
0.15000050,55.639832,45.371393,29.435269
0.15100050,55.580497,45.390446,29.421547
0.15206300,55.516249,45.415155,29.410376
0.15306300,55.455570,45.439190,29.392580
0.15406300,55.393843,45.466340,29.373836
0.15506300,55.330782,45.497471,29.356693
0.15618800,55.258623,45.536195,29.336598
0.15718800,55.194005,45.572100,29.312811
0.15818800,55.128869,45.610524,29.285333
0.15918800,55.062699,45.654419,29.260628
0.16018800,54.995860,45.702003,29.234401
0.16100050,54.940868,45.743838,29.214354
0.16200050,54.872447,45.798481,29.189879
0.16312550,54.795216,45.861030,29.153906
0.16412550,54.725658,45.921132,29.122143
0.16512550,54.655133,45.985756,29.091665
0.16612550,54.584184,46.052469,29.056635
0.16712550,54.512328,46.125267,29.032398
0.16812550,54.440073,46.201152,29.009151
0.16912550,54.367749,46.278078,28.980005
0.17012550,54.295418,46.355105,28.941430
0.17112550,54.222651,46.433198,28.895580
0.17212550,54.148406,46.514944,28.848677
0.17312550,54.072473,46.600895,28.802090
0.17412550,53.995874,46.688453,28.749484
0.17500050,53.928245,46.767270,28.700792
0.17600050,53.849719,46.866646,28.658164
0.17700050,53.770666,46.970647,28.618448
0.17800050,53.692227,47.081016,28.605691
0.17900050,53.614622,47.193033,28.593808
0.18000050,53.537020,47.305057,28.572159
0.18100050,53.459418,47.417081,28.540703
0.18203175,53.395050,47.526962,28.562762
0.18303175,53.336057,47.632267,28.587997
0.18403175,53.279355,47.736760,28.612062
0.18503175,53.228392,47.840219,28.641185
0.18603175,53.180000,47.943210,28.666949
0.18703175,53.132943,48.045118,28.687606
0.18809425,53.091249,48.140334,28.733552
0.18921925,53.047481,48.240597,28.771704
0.19021925,53.009419,48.328841,28.798698
0.19121925,52.975550,48.412328,28.833275
0.19221925,52.942589,48.494755,28.861809
0.19321925,52.912069,48.573897,28.891267
0.19421925,52.883167,48.650855,28.918028
0.19546925,52.847838,48.745674,28.942019
0.19646925,52.822817,48.816471,28.967466
0.19746925,52.799720,48.884188,28.992885
0.19846925,52.777104,48.951134,29.010942
0.19946925,52.756455,49.015307,29.029360
0.20021925,52.742476,49.061242,29.044474
0.20121925,52.724914,49.121039,29.061667
0.20221925,52.708352,49.179672,29.074470
0.20321925,52.693821,49.235959,29.088545
0.20421925,52.680500,49.290723,29.099410
0.20509425,52.670152,49.337371,29.108020
0.20609425,52.660232,49.388921,29.119079
0.20709425,52.652052,49.438819,29.129829
0.20809425,52.645380,49.487233,29.139007
0.20921925,52.639629,49.540336,29.147190
0.21009425,52.636368,49.580521,29.151947
0.21103175,52.634976,49.620702,29.161970
0.21203175,52.634742,49.661747,29.171183
0.21315675,52.636168,49.705987,29.179709
0.21415675,52.639505,49.742574,29.188324
0.21540675,52.646981,49.782356,29.201703
0.21615675,52.652684,49.803950,29.208583
0.21703175,52.660059,49.827807,29.213770
0.21803175,52.669873,49.852518,29.219281
0.21909425,52.681822,49.875955,29.223354
0.22021925,52.696152,49.897689,29.226762
0.22121925,52.710350,49.914328,29.229002
0.22221925,52.725909,49.928465,29.230319
0.22321925,52.742844,49.940073,29.230689
0.22421925,52.761180,49.949098,29.230187
0.22521925,52.780935,49.955508,29.228812
0.22621925,52.802113,49.959293,29.226493
0.22721925,52.824719,49.960439,29.223164
0.22871925,52.861327,49.957167,29.216158
0.22971925,52.887545,49.951630,29.210078
