X:Vel_RX-GEAR22-fuzajiaolian(rad/s),Y:Vel_RX-GEAR22-fuzajiaolian(rad/s)
0.0000000,0.0000000
0.00050500000,0.46824518
0.0010170000,-1.0130522
0.0015290000,-1.4471486
0.0020410000,-1.4473023
0.0025530000,-0.11084333
0.0030010000,-0.90956274
0.0035130000,-1.2107283
0.0040250000,-1.2147833
0.0045370000,-1.2285422
0.0050490000,-1.2291054
0.0055610000,-1.2292110
0.0060730000,-1.2292374
0.0065850000,-1.2292439
0.0070970000,-1.2292456
0.0076090000,-1.2292460
0.0081210000,-1.2292461
0.0086330000,-1.2292462
0.0091450000,-1.2292463
0.0096570000,-0.86311863
0.010169000,-0.67179991
0.010681000,-0.64476348
0.011193000,-0.63800438
0.011705000,-1.6404601
0.012217000,-0.99723436
0.012985000,-0.81738805
0.013241000,-0.74159270
0.013753000,-0.81362978
0.014009000,-0.81960353
0.014521000,-0.82408384
0.015033000,-0.82520392
0.015545000,-0.82548394
0.016313000,-0.82557728
0.016825000,-0.82560061
0.017337000,-0.82561228
0.017849000,-0.82561811
0.018361000,-0.82562103
0.018873000,-0.84307205
0.019385000,-0.97091415
0.019897000,-1.0583689
0.020409000,-1.0803703
0.020921000,-1.0913710
0.021433000,-1.0968713
0.021933000,-0.55305951
0.022433000,-0.77242926
0.022933000,-0.96733982
0.023433000,-1.0627495
0.023933000,-1.1026222
0.024433000,-1.1228516
0.024933000,-1.1314904
0.025433000,-1.1358098
0.025933000,-1.1379695
0.026433000,-1.1390494
0.026933000,-1.1395893
0.027933000,-1.1401292
0.028933000,-1.1403992
0.029933000,-1.1405342
0.030933000,-1.1406016
0.031933000,-1.1406354
0.032933000,-1.1406523
0.033933000,-1.1406607
0.034933000,-1.1406649
0.035933000,-1.1406670
0.036933000,-1.0885898
0.037933000,-0.98370283
0.038933000,-0.96332860
0.039933000,-0.95314148
0.040933000,-0.94804793
0.041933000,-1.2584790
0.042433000,-1.1326005
0.042933000,-1.0090277
0.043433000,-0.96216853
0.043933000,-0.94104198
0.044433000,-0.93201697
0.044933000,-0.92755425
0.045433000,-0.92532289
0.045933000,-0.92420721
0.046433000,-0.92364937
0.046933000,-0.92337045
0.047433000,-0.92323099
0.048433000,-0.92309153
0.049433000,-0.92302180
0.050433000,-0.92298693
0.051433000,-0.92296950
0.052433000,-0.92296078
0.053433000,-0.92295642
0.054433000,-0.92295425
0.055433000,-0.92295316
0.056433000,-0.92295261
0.057433000,-0.92295234
0.058433000,-0.92295220
0.059433000,-0.92295213
0.060433000,-0.92295210
0.061433000,-0.92295208
0.062433000,-0.92295208
0.063433000,-0.92295207
0.064433000,-0.92295207
0.065433000,-0.92295207
0.066433000,-0.92295207
0.067433000,-0.92295207
0.068433000,-0.92295207
0.069433000,-0.92295207
0.070433000,-0.92295207
0.071433000,-0.92295207
0.072433000,-0.92295207
0.073433000,-0.92295207
0.074433000,-0.92295207
0.075433000,-0.92295207
0.076433000,-0.92295207
0.077433000,-0.92295207
0.078433000,-0.92295207
0.079433000,-0.95992624
0.080433000,-1.0013626
0.081433000,-1.0103228
0.082433000,-0.93396812
0.083433000,-0.91321499
0.083933000,-0.96635770
0.084433000,-0.99394924
0.084933000,-0.99925971
0.085433000,-1.0028221
0.085933000,-1.0060608
0.086433000,-1.0071617
0.086933000,-1.0077121
0.087433000,-1.0079873
0.087933000,-1.0081249
0.088433000,-1.0081937
0.088933000,-1.0082281
0.089933000,-1.0082625
0.090933000,-1.0082797
0.091933000,-1.0082883
0.092933000,-1.0082926
0.093933000,-1.0082948
0.094933000,-1.0082959
0.095933000,-1.0082964
0.096933000,-1.0082967
0.097933000,-1.0082968
0.098933000,-1.0082969
0.099933000,-1.0082969
0.10093300,-1.0082969
0.10193300,-1.0082969
0.10293300,-1.0082969
0.10393300,-1.0082969
0.10493300,-1.0082969
0.10593300,-1.0082969
0.10693300,-1.0082969
0.10793300,-1.0082969
0.10893300,-1.0082969
0.10993300,-1.0082969
0.11093300,-1.0082969
0.11193300,-1.0082969
0.11293300,-1.0082969
0.11393300,-1.0082969
0.11493300,-1.0082969
0.11593300,-1.0082969
0.11693300,-1.0082969
0.11793300,-1.0082969
0.11893300,-1.0082969
0.11993300,-1.0082969
0.12093300,-1.0082969
0.12193300,-1.0082969
0.12293300,-1.0082969
0.12393300,-1.0082969
0.12493300,-1.0082969
0.12593300,-1.0082969
0.12693300,-1.0082969
0.12793300,-1.0082969
0.12893300,-1.0082969
0.12993300,-1.0082969
0.13093300,-1.0082969
0.13193300,-1.0082969
0.13293300,-1.0082969
0.13393300,-1.0082969
0.13493300,-1.0082969
0.13593300,-1.0082969
0.13693300,-1.0082969
0.13793300,-1.0082969
0.13893300,-1.0082969
0.13993300,-1.0082969
0.14093300,-1.0082969
0.14193300,-1.0082969
0.14293300,-1.0082969
0.14393300,-1.0082969
0.14493300,-1.0082969
0.14593300,-1.0082969
0.14693300,-1.0082969
0.14793300,-1.0082969
0.14893300,-1.0082969
0.14993300,-1.0082969
0.15093300,-0.98345387
0.15193300,-0.95278014
0.15293300,-0.94628768
0.15393300,-0.94304145
0.15493300,-0.94141834
0.15593300,-0.94060678
0.15693300,-0.94020100
0.15793300,-0.93999811
0.15893300,-0.93989667
0.15993300,-0.97400248
0.16093300,-1.0464735
0.16143300,-1.0883772
0.16193300,-1.0976891
0.16243300,-1.1023451
0.16293300,-1.1046731
0.16343300,-1.0394229
0.16393300,-0.94997398
0.16443300,-0.93157015
0.16493300,-0.90704935
0.16543300,-0.98163732
0.16593300,-1.0872345
0.16643300,-1.1229138
0.16743300,-1.0748180
0.16843300,-0.92856984
0.16943300,-0.94758302
0.16993300,-1.0413788
0.17043300,-1.0739757
0.17093300,-1.1005198
0.17143300,-1.1084011
0.17193300,-1.1123418
0.17243300,-1.1143122
0.17293300,-1.1152973
0.17343300,-1.1157899
0.17393300,-1.1160362
0.17443300,-1.1161594
0.17493300,-1.1162209
0.17593300,-1.1162825
0.17693300,-1.1163133
0.17793300,-1.1163287
0.17893300,-1.1163364
0.17993300,-1.1163402
0.18093300,-1.1163422
0.18193300,-1.1163431
0.18293300,-1.1163436
0.18393300,-1.1163438
0.18493300,-1.1163440
0.18593300,-1.1163440
0.18693300,-1.1163441
0.18793300,-1.1163441
0.18893300,-1.1163441
0.18993300,-1.1163441
0.19093300,-1.1163441
0.19193300,-1.1163441
0.19293300,-1.0870073
0.19393300,-0.97106645
0.19443300,-0.89832338
0.19493300,-0.88270732
0.19543300,-0.87489929
0.19593300,-0.87099527
0.19643300,-0.86904326
0.19693300,-0.86806726
0.19743300,-0.86757926
0.19793300,-0.92846036
0.19843300,-1.0768495
0.19868300,-1.1564301
0.19918300,-1.1833469
0.19968300,-1.1900761
0.20018300,-1.1823502
0.20068300,-0.88548529
0.20118300,-0.83632768
0.20168300,-0.83080973
0.20218300,-1.0084020
0.20268300,-1.1680341
0.20318300,-1.1922763
0.20368300,-1.0098523
0.20418300,-0.83350064
0.20468300,-0.90826714
0.20518300,-1.0620771
0.20568300,-1.0427599
0.20618300,-0.95920510
0.20668300,-0.94138103
0.20768300,-0.94710626
0.20868300,-0.94928791
0.20968300,-0.94840905
0.21068300,-0.94796962
0.21168300,-0.94774990
0.21268300,-0.94764005
0.21368300,-0.94758512
0.21468300,-0.94755765
0.21568300,-0.94754392
0.21668300,-0.94753705
0.21768300,-0.94753362
0.21868300,-0.94753190
0.21968300,-0.94753105
0.22068300,-0.94753062
0.22168300,-0.94753040
0.22268300,-0.94753030
0.22368300,-0.94753024
0.22468300,-0.94753022
0.22568300,-0.94753020
0.22668300,-0.94753019
0.22768300,-0.94753019
0.22868300,-0.94753019
0.22968300,-0.94753019
0.23068300,-0.94753019
0.23168300,-0.94753019
0.23268300,-0.96607248
0.23368300,-1.0226791
0.23418300,-1.0635027
0.23468300,-1.0720508
0.23518300,-1.0763248
0.23568300,-1.0784618
0.23618300,-1.0795303
0.23668300,-1.0800646
0.23718300,-1.0803317
0.23768300,-1.0804652
0.23818300,-1.0805320
0.23868300,-1.0805654
0.23918300,-1.0805821
0.24018300,-1.0805988
0.24118300,-1.0806072
0.24218300,-1.0806113
0.24318300,-1.0806134
0.24418300,-1.0806145
0.24518300,-1.0559199
0.24618300,-0.99530190
0.24718300,-0.92577869
0.24818300,-0.91036654
0.24918300,-0.90266046
0.25018300,-0.89880742
0.25118300,-0.89688090
0.25218300,-0.89591764
0.25318300,-1.0052358
0.25418300,-1.2129645
0.25518300,-1.0815920
0.25618300,-0.97787567
0.25718300,-0.95829087
0.25818300,-0.99771873
0.25918300,-1.0270842
0.26018300,-1.0330629
0.26118300,-1.0360523
0.26218300,-1.0375470
0.26318300,-1.0382943
0.26418300,-1.0386680
0.26518300,-1.0388548
0.26618300,-1.0389482
0.26718300,-1.0389949
0.26818300,-1.0390183
0.26918300,-1.0390300
0.27018300,-1.0390358
0.27118300,-1.0390387
0.27218300,-1.0390402
0.27318300,-1.0390409
0.27418300,-1.0261871
0.27518300,-1.0037444
0.27618300,-0.99880933
0.27718300,-0.99650198
0.27818300,-0.99534831
0.27918300,-0.99477147
0.28018300,-0.99448305
0.28118300,-0.99433884
0.28218300,-0.99426674
0.28318300,-0.99423068
0.28418300,-0.99421266
0.28518300,-0.99420364
0.28618300,-0.99419914
0.28718300,-0.99419688
0.28818300,-0.99419576
0.28918300,-0.99419519
0.29018300,-0.99419491
0.29118300,-0.99419477
0.29218300,-0.99419470
0.29318300,-0.99419467
0.29418300,-0.99419465
0.29518300,-0.99419464
0.29618300,-1.0516715
0.29718300,-1.1160845
0.29818300,-1.1300131
0.29918300,-1.1369775
0.30018300,-1.1255210
0.30118300,-1.0207853
0.30218300,-0.94182689
0.30268300,-0.96374202
0.30318300,-1.0315124
0.30368300,-1.0741783
0.30418300,-1.0764758
0.30468300,-1.0274718
0.30518300,-0.97787430
0.30568300,-0.96733292
0.30618300,-0.97138174
0.30668300,-1.0096433
0.30718300,-1.0443821
0.30768300,-1.0521773
0.30868300,-1.0757111
0.30968300,-1.0465994
0.31068300,-0.99704342
0.31168300,-0.98789130
0.31268300,-0.98331524
0.31368300,-0.98102721
0.31468300,-0.97988319
0.31568300,-0.99944136
0.31668300,-1.0267472
0.31768300,-1.0323212
0.31868300,-1.0351082
0.31968300,-1.0365017
0.32068300,-1.0371985
0.32168300,-1.0375468
0.32268300,-1.0377210
0.32368300,-1.0378081
0.32468300,-1.0378517
0.32568300,-1.0378734
0.32668300,-1.0378843
0.32768300,-1.0378898
0.32868300,-1.0378925
0.32968300,-1.0378938
0.33068300,-1.0378945
0.33168300,-1.0378949
0.33268300,-1.0378950
0.33368300,-1.0378951
0.33468300,-1.0378952
0.33568300,-1.0378952
0.33668300,-1.0378952
0.33768300,-1.0378952
0.33868300,-1.0378952
0.33968300,-1.0378952
0.34068300,-1.0378952
0.34168300,-1.0378952
0.34268300,-1.0378952
0.34368300,-1.0378952
0.34468300,-1.0378952
0.34568300,-1.0378952
0.34668300,-1.0378952
0.34768300,-1.0378952
0.34868300,-1.0378952
0.34968300,-1.0378952
0.35068300,-1.0378952
0.35168300,-1.0378952
0.35268300,-1.0378952
0.35368300,-1.0378952
0.35468300,-1.0378952
0.35568300,-1.0378952
0.35668300,-1.0891537
0.35768300,-1.1472827
0.35868300,-1.1598185
0.35968300,-1.1678293
0.36068300,-1.0800975
0.36118300,-0.94190808
0.36168300,-0.92370579
0.36218300,-0.97388041
0.36268300,-0.93920120
