X:Pos_TX-Body1-slider_crank(mm),Y:Pos_TX-Body1-slider_crank(mm),Y:Pos_TY-Body1-slider_crank(mm),Y:Pos_TZ-Body1-slider_crank(mm)
0.0000000,0.0000000,50.000000,0.0000000
0.0010130000,-0.00015382140,50.000000,0.0000000
0.0020370000,-0.00062156012,50.000000,0.0000000
0.0030610000,-0.0014025901,50.000000,0.0000000
0.0040850000,-0.0024962670,50.000000,0.0000000
0.0051090000,-0.0039019467,50.000000,0.0000000
0.0061330000,-0.0056189849,50.000000,0.0000000
0.0071570000,-0.0076467373,49.999999,0.0000000
0.0081810000,-0.0099845597,49.999999,0.0000000
0.0092050000,-0.012631808,49.999998,0.0000000
0.010229000,-0.015587837,49.999998,0.0000000
0.011253000,-0.018852004,49.999996,0.0000000
0.012253000,-0.022336439,49.999995,0.0000000
0.013253000,-0.026113522,49.999993,0.0000000
0.014253000,-0.030182653,49.999991,0.0000000
0.015253000,-0.034543231,49.999988,0.0000000
0.016253000,-0.039194658,49.999985,0.0000000
0.017253000,-0.044136332,49.999981,0.0000000
0.018253000,-0.049367654,49.999976,0.0000000
0.019253000,-0.054888024,49.999970,0.0000000
0.020253000,-0.060696841,49.999963,0.0000000
0.021253000,-0.066793505,49.999955,0.0000000
0.022253000,-0.073177416,49.999946,0.0000000
0.023253000,-0.079847973,49.999936,0.0000000
0.024253000,-0.086804577,49.999925,0.0000000
0.025253000,-0.094046627,49.999912,0.0000000
0.026253000,-0.10157352,49.999897,0.0000000
0.027253000,-0.10938466,49.999880,0.0000000
0.028253000,-0.11747945,49.999862,0.0000000
0.029253000,-0.12585728,49.999842,0.0000000
0.030253000,-0.13451755,49.999819,0.0000000
0.031253000,-0.14345967,49.999794,0.0000000
0.032253000,-0.15268303,49.999767,0.0000000
0.033253000,-0.16218703,49.999737,0.0000000
0.034253000,-0.17197107,49.999704,0.0000000
0.035253000,-0.18203455,49.999669,0.0000000
0.036253000,-0.19237687,49.999630,0.0000000
0.037253000,-0.20299742,49.999588,0.0000000
0.038253000,-0.21389562,49.999542,0.0000000
0.039253000,-0.22507085,49.999493,0.0000000
0.040253000,-0.23652251,49.999441,0.0000000
0.041253000,-0.24825000,49.999384,0.0000000
0.042253000,-0.26025273,49.999323,0.0000000
0.043253000,-0.27253009,49.999257,0.0000000
0.044253000,-0.28508147,49.999187,0.0000000
0.045253000,-0.29790628,49.999113,0.0000000
0.046253000,-0.31100391,49.999033,0.0000000
0.047253000,-0.32437376,49.998948,0.0000000
0.048253000,-0.33801523,49.998857,0.0000000
0.049253000,-0.35192772,49.998761,0.0000000
0.050253000,-0.36611062,49.998660,0.0000000
0.051253000,-0.38056333,49.998552,0.0000000
0.052253000,-0.39528525,49.998437,0.0000000
0.053253000,-0.41027577,49.998317,0.0000000
0.054253000,-0.42553430,49.998189,0.0000000
0.055253000,-0.44106023,49.998055,0.0000000
0.056253000,-0.45685294,49.997913,0.0000000
0.057253000,-0.47291185,49.997763,0.0000000
0.058253000,-0.48923635,49.997606,0.0000000
0.059253000,-0.50582583,49.997441,0.0000000
0.060253000,-0.52267969,49.997268,0.0000000
0.061253000,-0.53979732,49.997086,0.0000000
0.062253000,-0.55717812,49.996895,0.0000000
0.063253000,-0.57482148,49.996696,0.0000000
0.064253000,-0.59272680,49.996487,0.0000000
0.065253000,-0.61089347,49.996268,0.0000000
0.066253000,-0.62932089,49.996039,0.0000000
0.067253000,-0.64800846,49.995801,0.0000000
0.068253000,-0.66695555,49.995552,0.0000000
0.069253000,-0.68616158,49.995292,0.0000000
0.070253000,-0.70562592,49.995021,0.0000000
0.071253000,-0.72534798,49.994738,0.0000000
0.072253000,-0.74532715,49.994445,0.0000000
0.073253000,-0.76556281,49.994139,0.0000000
0.074253000,-0.78605437,49.993821,0.0000000
0.075253000,-0.80680121,49.993490,0.0000000
0.076253000,-0.82780272,49.993147,0.0000000
0.077253000,-0.84905830,49.992790,0.0000000
0.078253000,-0.87056733,49.992421,0.0000000
0.079253000,-0.89232922,49.992037,0.0000000
0.080253000,-0.91434333,49.991639,0.0000000
0.081253000,-0.93660908,49.991227,0.0000000
0.082253000,-0.95912584,49.990800,0.0000000
0.083253000,-0.98189301,49.990358,0.0000000
0.084253000,-1.0049100,49.989901,0.0000000
0.085253000,-1.0281761,49.989427,0.0000000
0.086253000,-1.0516908,49.988938,0.0000000
