X:Vel_RZ-Body2-slider_crank(rad/s),Y:Vel_RZ-Body2-slider_crank(rad/s)
0.0000000,2.9999980e-06
0.0010130000,0.0060718594
0.0020370000,0.012197169
0.0030610000,0.018310044
0.0040850000,0.024410139
0.0051090000,0.030497651
0.0061330000,0.036573366
0.0071570000,0.042635713
0.0081810000,0.048685476
0.0092050000,0.054722656
0.010229000,0.060747254
0.011253000,0.066759269
0.012253000,0.072621196
0.013253000,0.078468148
0.014253000,0.084303112
0.015253000,0.090126076
0.016253000,0.095937040
0.017253000,0.10173600
0.018253000,0.10752297
0.019253000,0.11329793
0.020253000,0.11906090
0.021253000,0.12481186
0.022253000,0.13055082
0.023253000,0.13627779
0.024253000,0.14199275
0.025253000,0.14769572
0.026253000,0.15338668
0.027253000,0.15906564
0.028253000,0.16473261
0.029253000,0.17038757
0.030253000,0.17603054
0.031253000,0.18166150
0.032253000,0.18728046
0.033253000,0.19288743
0.034253000,0.19848239
0.035253000,0.20406536
0.036253000,0.20963632
0.037253000,0.21519528
0.038253000,0.22074225
0.039253000,0.22627721
0.040253000,0.23180018
0.041253000,0.23731114
0.042253000,0.24281010
0.043253000,0.24829707
0.044253000,0.25377203
0.045253000,0.25923500
0.046253000,0.26468596
0.047253000,0.27012492
0.048253000,0.27555189
0.049253000,0.28096685
0.050253000,0.28636982
0.051253000,0.29176078
0.052253000,0.29713974
0.053253000,0.30250671
0.054253000,0.30786167
0.055253000,0.31320464
0.056253000,0.31853560
0.057253000,0.32385456
0.058253000,0.32916153
0.059253000,0.33445649
0.060253000,0.33973946
0.061253000,0.34501042
0.062253000,0.35026938
0.063253000,0.35551635
0.064253000,0.36075131
0.065253000,0.36597428
0.066253000,0.37118524
0.067253000,0.37638420
0.068253000,0.38157117
0.069253000,0.38674613
0.070253000,0.39190910
0.071253000,0.39706006
0.072253000,0.40219902
0.073253000,0.40732599
0.074253000,0.41244095
0.075253000,0.41754392
0.076253000,0.42263488
0.077253000,0.42771384
0.078253000,0.43278081
0.079253000,0.43783577
0.080253000,0.44287874
0.081253000,0.44790970
0.082253000,0.45292866
0.083253000,0.45793563
0.084253000,0.46293059
0.085253000,0.46791356
0.086253000,0.47288452
0.087253000,0.47784348
0.088253000,0.48279045
0.089253000,0.48772541
0.090253000,0.49264838
0.091253000,0.49755934
0.092253000,0.50245830
0.093253000,0.50734527
0.094253000,0.51222023
0.095253000,0.51708320
0.096253000,0.52193416
0.097253000,0.52677312
0.098253000,0.53160009
0.099253000,0.53641505
0.10025300,0.54121802
0.10125300,0.54600898
0.10225300,0.55078794
0.10325300,0.55555491
0.10425300,0.56030987
0.10525300,0.56505284
0.10625300,0.56978380
0.10725300,0.57450276
0.10825300,0.57920973
0.10925300,0.58390469
0.11025300,0.58858766
0.11125300,0.59325862
0.11225300,0.59791758
0.11325300,0.60256455
0.11425300,0.60719951
0.11525300,0.61182248
0.11625300,0.61643344
0.11725300,0.62103240
0.11825300,0.62561937
0.11925300,0.63019433
0.12025300,0.63475730
0.12125300,0.63930826
0.12225300,0.64384722
0.12325300,0.64837419
0.12425300,0.65288915
0.12525300,0.65739212
0.12625300,0.66188308
0.12725300,0.66636204
0.12825300,0.67082901
0.12925300,0.67528397
0.13025300,0.67972694
0.13125300,0.68415790
0.13225300,0.68857686
0.13325300,0.69298383
0.13425300,0.69737879
0.13525300,0.70176176
0.13625300,0.70613272
0.13725300,0.71049168
0.13825300,0.71483865
0.13925300,0.71917361
0.14025300,0.72349658
0.14125300,0.72780754
0.14225300,0.73210650
0.14325300,0.73639347
0.14425300,0.74066843
0.14525300,0.74493140
0.14625300,0.74918236
0.14725300,0.75342132
0.14825300,0.75764829
0.14925300,0.76186325
0.15025300,0.76606622
0.15125300,0.77025718
0.15225300,0.77443614
0.15325300,0.77860311
0.15425300,0.78275807
0.15525300,0.78690104
0.15625300,0.79103200
0.15725300,0.79515096
0.15825300,0.79925793
0.15925300,0.80335289
0.16025300,0.80743586
0.16125300,0.81150682
0.16225300,0.81556578
0.16325300,0.81961275
0.16425300,0.82364771
0.16525300,0.82767068
0.16625300,0.83168164
0.16725300,0.83568060
0.16825300,0.83966757
0.16925300,0.84364253
0.17025300,0.84760550
0.17125300,0.85155646
0.17225300,0.85549542
0.17325300,0.85942239
0.17425300,0.86333735
0.17525300,0.86724032
0.17625300,0.87113128
0.17725300,0.87501024
0.17825300,0.87887721
0.17925300,0.88273217
0.18025300,0.88657514
0.18125300,0.89040610
0.18225300,0.89422506
0.18325300,0.89803203
0.18425300,0.90182699
0.18525300,0.90560996
0.18625300,0.90938092
0.18725300,0.91313988
0.18825300,0.91688685
0.18925300,0.92062181
0.19025300,0.92434478
0.19125300,0.92805574
0.19225300,0.93175470
0.19325300,0.93544167
0.19425300,0.93911663
0.19525300,0.94277960
0.19625300,0.94643056
0.19725300,0.95006952
0.19825300,0.95369649
0.19925300,0.95731145
0.20025300,0.96091442
0.20125300,0.96450538
0.20225300,0.96808434
0.20325300,0.97165131
0.20425300,0.97520627
0.20525300,0.97874924
0.20625300,0.98228020
0.20725300,0.98579916
0.20825300,0.98930613
0.20925300,0.99280109
0.21025300,0.99628406
0.21125300,0.99975502
0.21225300,1.0032140
0.21325300,1.0066609
0.21425300,1.0100959
0.21525300,1.0135189
0.21625300,1.0169298
0.21725300,1.0203288
0.21825300,1.0237158
0.21925300,1.0270907
0.22025300,1.0304537
0.22125300,1.0338047
0.22225300,1.0371436
0.22325300,1.0404706
0.22425300,1.0437856
0.22525300,1.0470885
0.22625300,1.0503795
0.22725300,1.0536584
0.22825300,1.0569254
0.22925300,1.0601804
0.23025300,1.0634233
0.23125300,1.0666543
0.23225300,1.0698733
0.23325300,1.0730802
0.23425300,1.0762752
0.23525300,1.0794582
0.23625300,1.0826291
0.23725300,1.0857881
0.23825300,1.0889350
0.23925300,1.0920700
0.24025300,1.0951930
0.24125300,1.0983039
0.24225300,1.1014029
0.24325300,1.1044899
0.24425300,1.1075648
0.24525300,1.1106278
0.24625300,1.1136788
0.24725300,1.1167177
0.24825300,1.1197447
0.24925300,1.1227597
0.25025300,1.1257626
0.25125300,1.1287536
0.25225300,1.1317325
0.25325300,1.1346995
0.25425300,1.1376545
0.25525300,1.1405974
0.25625300,1.1435284
0.25725300,1.1464474
0.25825300,1.1493543
0.25925300,1.1522493
0.26025300,1.1551323
0.26125300,1.1580032
0.26225300,1.1608622
0.26325300,1.1637091
0.26425300,1.1665441
0.26525300,1.1693671
0.26625300,1.1721780
0.26725300,1.1749770
0.26825300,1.1777640
0.26925300,1.1805389
0.27025300,1.1833019
0.27125300,1.1860529
0.27225300,1.1887918
0.27325300,1.1915188
0.27425300,1.1942338
0.27525300,1.1969367
0.27625300,1.1996277
0.27725300,1.2023066
0.27825300,1.2049736
0.27925300,1.2076286
0.28025300,1.2102715
0.28125300,1.2129025
0.28225300,1.2155215
0.28325300,1.2181284
0.28425300,1.2207234
0.28525300,1.2233064
0.28625300,1.2258773
0.28725300,1.2284363
0.28825300,1.2309832
0.28925300,1.2335182
0.29025300,1.2360412
0.29125300,1.2385521
0.29225300,1.2410511
0.29325300,1.2435381
0.29425300,1.2460130
0.29525300,1.2484760
0.29625300,1.2509270
0.29725300,1.2533659
0.29825300,1.2557929
0.29925300,1.2582079
0.30025300,1.2606108
0.30125300,1.2630018
0.30225300,1.2653807
0.30325300,1.2677477
0.30425300,1.2701027
0.30525300,1.2724456
0.30625300,1.2747766
0.30725300,1.2770956
0.30825300,1.2794025
0.30925300,1.2816975
0.31025300,1.2839805
0.31125300,1.2862514
0.31225300,1.2885104
0.31325300,1.2907573
0.31425300,1.2929923
0.31525300,1.2952153
0.31625300,1.2974262
0.31725300,1.2996252
0.31825300,1.3018122
0.31925300,1.3039871
0.32025300,1.3061501
0.32125300,1.3083011
0.32225300,1.3104400
0.32325300,1.3125670
0.32425300,1.3146820
0.32525300,1.3167849
0.32625300,1.3188759
0.32725300,1.3209548
0.32825300,1.3230218
0.32925300,1.3250768
0.33025300,1.3271197
0.33125300,1.3291507
0.33225300,1.3311697
0.33325300,1.3331766
0.33425300,1.3351716
0.33525300,1.3371546
0.33625300,1.3391255
0.33725300,1.3410845
0.33825300,1.3430314
0.33925300,1.3449664
0.34025300,1.3468894
0.34125300,1.3488003
0.34225300,1.3506993
0.34325300,1.3525863
0.34425300,1.3544612
0.34525300,1.3563242
0.34625300,1.3581752
0.34725300,1.3600141
0.34825300,1.3618411
0.34925300,1.3636561
0.35025300,1.3654590
0.35125300,1.3672500
0.35225300,1.3690289
0.35325300,1.3707959
0.35425300,1.3725509
0.35525300,1.3742938
0.35625300,1.3760248
0.35725300,1.3777438
0.35825300,1.3794507
0.35925300,1.3811457
0.36025300,1.3828287
0.36125300,1.3844996
0.36225300,1.3861586
0.36325300,1.3878055
0.36425300,1.3894405
0.36525300,1.3910635
0.36625300,1.3926744
0.36725300,1.3942734
0.36825300,1.3958604
0.36925300,1.3974353
0.37025300,1.3989983
0.37125300,1.4005493
0.37225300,1.4020882
0.37325300,1.4036152
0.37425300,1.4051302
0.37525300,1.4066331
0.37625300,1.4081241
0.37725300,1.4096030
0.37825300,1.4110700
0.37925300,1.4125250
0.38025300,1.4139679
0.38125300,1.4153989
0.38225300,1.4168179
0.38325300,1.4182248
0.38425300,1.4196198
0.38525300,1.4210028
0.38625300,1.4223737
0.38725300,1.4237327
0.38825300,1.4250796
0.38925300,1.4264146
0.39025300,1.4277376
0.39125300,1.4290485
0.39225300,1.4303475
0.39325300,1.4316345
0.39425300,1.4329094
0.39525300,1.4341724
0.39625300,1.4354234
0.39725300,1.4366623
0.39825300,1.4378893
0.39925300,1.4391043
0.40025300,1.4403072
0.40125300,1.4414982
0.40225300,1.4426771
0.40325300,1.4438441
0.40425300,1.4449991
0.40525300,1.4461420
0.40625300,1.4472730
0.40725300,1.4483920
0.40825300,1.4494989
0.40925300,1.4505939
0.41025300,1.4516769
0.41125300,1.4527478
0.41225300,1.4538068
0.41325300,1.4548537
0.41425300,1.4558887
0.41525300,1.4569117
0.41625300,1.4579226
0.41725300,1.4589216
0.41825300,1.4599086
0.41925300,1.4608835
0.42025300,1.4618465
0.42125300,1.4627975
0.42225300,1.4637364
0.42325300,1.4646634
0.42425300,1.4655784
0.42525300,1.4664813
0.42625300,1.4673723
0.42725300,1.4682512
0.42825300,1.4691182
0.42925300,1.4699732
0.43025300,1.4708161
0.43125300,1.4716471
0.43225300,1.4724661
0.43325300,1.4732730
0.43425300,1.4740680
0.43525300,1.4748510
0.43625300,1.4756219
0.43725300,1.4763809
0.43825300,1.4771278
0.43925300,1.4778628
0.44025300,1.4785858
0.44125300,1.4792967
0.44225300,1.4799957
0.44325300,1.4806827
0.44425300,1.4813576
0.44525300,1.4820206
0.44625300,1.4826716
0.44725300,1.4833105
0.44825300,1.4839375
0.44925300,1.4845525
0.45025300,1.4851554
0.45125300,1.4857464
0.45225300,1.4863253
0.45325300,1.4868923
0.45425300,1.4874473
0.45525300,1.4879902
0.45625300,1.4885212
0.45725300,1.4890402
0.45825300,1.4895471
0.45925300,1.4900421
0.46025300,1.4905251
0.46125300,1.4909960
0.46225300,1.4914550
0.46325300,1.4919019
0.46425300,1.4923369
0.46525300,1.4927599
0.46625300,1.4931708
0.46725300,1.4935698
0.46825300,1.4939568
0.46925300,1.4943317
0.47025300,1.4946947
0.47125300,1.4950457
0.47225300,1.4953846
0.47325300,1.4957116
0.47425300,1.4960266
0.47525300,1.4963295
0.47625300,1.4966205
0.47725300,1.4968994
0.47825300,1.4971664
0.47925300,1.4974214
0.48025300,1.4976643
0.48125300,1.4978953
0.48225300,1.4981143
0.48325300,1.4983212
0.48425300,1.4985162
0.48525300,1.4986992
0.48625300,1.4988701
0.48725300,1.4990291
0.48825300,1.4991760
0.48925300,1.4993110
0.49025300,1.4994340
0.49125300,1.4995449
0.49225300,1.4996439
0.49325300,1.4997309
0.49425300,1.4998058
