X:Pos_TX-Body5-slider_crank(mm),Y:Pos_TX-Body5-slider_crank(mm),Y:Pos_TY-Body5-slider_crank(mm),Y:Pos_TZ-Body5-slider_crank(mm)
0.0000000,200.00000,200.00000,-6.9829627e-13
0.0010130000,199.99938,200.00123,-6.9829842e-13
0.0020370000,199.99750,200.00498,-6.9830495e-13
0.0030610000,199.99436,200.01125,-6.9831586e-13
0.0040850000,199.98996,200.02002,-6.9833113e-13
0.0051090000,199.98431,200.03129,-6.9835076e-13
0.0061330000,199.97741,200.04506,-6.9837474e-13
0.0071570000,199.96925,200.06132,-6.9840306e-13
0.0081810000,199.95985,200.08007,-6.9843571e-13
0.0092050000,199.94919,200.10130,-6.9847268e-13
0.010229000,199.93730,200.12500,-6.9851397e-13
0.011253000,199.92416,200.15118,-6.9855955e-13
0.012253000,199.91013,200.17912,-6.9860822e-13
0.013253000,199.89491,200.20940,-6.9866097e-13
0.014253000,199.87852,200.24203,-6.9871780e-13
0.015253000,199.86094,200.27699,-6.9877869e-13
0.016253000,199.84219,200.31428,-6.9884366e-13
0.017253000,199.82226,200.35389,-6.9891267e-13
0.018253000,199.80115,200.39583,-6.9898573e-13
0.019253000,199.77887,200.44008,-6.9906283e-13
0.020253000,199.75541,200.48664,-6.9914395e-13
0.021253000,199.73077,200.53550,-6.9922909e-13
0.022253000,199.70497,200.58666,-6.9931825e-13
0.023253000,199.67799,200.64012,-6.9941141e-13
0.024253000,199.64984,200.69586,-6.9950856e-13
0.025253000,199.62051,200.75389,-6.9960970e-13
0.026253000,199.59002,200.81420,-6.9971482e-13
0.027253000,199.55835,200.87677,-6.9982391e-13
0.028253000,199.52552,200.94162,-6.9993696e-13
0.029253000,199.49151,201.00873,-7.0005396e-13
0.030253000,199.45634,201.07809,-7.0017490e-13
0.031253000,199.41999,201.14970,-7.0029979e-13
0.032253000,199.38248,201.22356,-7.0042859e-13
0.033253000,199.34379,201.29966,-7.0056132e-13
0.034253000,199.30393,201.37799,-7.0069796e-13
0.035253000,199.26291,201.45856,-7.0083850e-13
0.036253000,199.22071,201.54134,-7.0098294e-13
0.037253000,199.17734,201.62634,-7.0113126e-13
0.038253000,199.13280,201.71356,-7.0128345e-13
0.039253000,199.08709,201.80298,-7.0143952e-13
0.040253000,199.04021,201.89461,-7.0159945e-13
0.041253000,198.99215,201.98843,-7.0176322e-13
0.042253000,198.94292,202.08444,-7.0193084e-13
0.043253000,198.89252,202.18263,-7.0210230e-13
0.044253000,198.84094,202.28300,-7.0227758e-13
0.045253000,198.78818,202.38555,-7.0245668e-13
0.046253000,198.73425,202.49026,-7.0263959e-13
0.047253000,198.67914,202.59713,-7.0282630e-13
0.048253000,198.62285,202.70616,-7.0301680e-13
0.049253000,198.56539,202.81734,-7.0321109e-13
0.050253000,198.50674,202.93066,-7.0340915e-13
0.051253000,198.44691,203.04612,-7.0361098e-13
0.052253000,198.38589,203.16371,-7.0381657e-13
0.053253000,198.32369,203.28343,-7.0402591e-13
0.054253000,198.26031,203.40527,-7.0423900e-13
0.055253000,198.19574,203.52923,-7.0445581e-13
0.056253000,198.12997,203.65529,-7.0467635e-13
0.057253000,198.06302,203.78346,-7.0490061e-13
0.058253000,197.99488,203.91372,-7.0512857e-13
0.059253000,197.92554,204.04608,-7.0536024e-13
0.060253000,197.85501,204.18052,-7.0559559e-13
0.061253000,197.78328,204.31703,-7.0583463e-13
0.062253000,197.71035,204.45562,-7.0607734e-13
0.063253000,197.63622,204.59628,-7.0632372e-13
0.064253000,197.56089,204.73900,-7.0657376e-13
0.065253000,197.48435,204.88377,-7.0682744e-13
0.066253000,197.40661,205.03059,-7.0708476e-13
0.067253000,197.32766,205.17946,-7.0734572e-13
0.068253000,197.24749,205.33036,-7.0761030e-13
0.069253000,197.16612,205.48329,-7.0787849e-13
0.070253000,197.08352,205.63824,-7.0815029e-13
0.071253000,196.99972,205.79521,-7.0842569e-13
0.072253000,196.91469,205.95419,-7.0870468e-13
0.073253000,196.82844,206.11518,-7.0898724e-13
0.074253000,196.74096,206.27817,-7.0927338e-13
0.075253000,196.65226,206.44314,-7.0956308e-13
0.076253000,196.56233,206.61011,-7.0985634e-13
0.077253000,196.47116,206.77905,-7.1015315e-13
0.078253000,196.37876,206.94997,-7.1045349e-13
0.079253000,196.28513,207.12285,-7.1075736e-13
0.080253000,196.19025,207.29770,-7.1106475e-13
0.081253000,196.09413,207.47449,-7.1137566e-13
0.082253000,195.99677,207.65324,-7.1169006e-13
0.083253000,195.89816,207.83393,-7.1200797e-13
0.084253000,195.79830,208.01655,-7.1232935e-13
0.085253000,195.69718,208.20109,-7.1265422e-13
0.086253000,195.59481,208.38756,-7.1298256e-13
0.087253000,195.49118,208.57595,-7.1331436e-13
0.088253000,195.38628,208.76624,-7.1364960e-13
0.089253000,195.28012,208.95844,-7.1398830e-13
0.090253000,195.17269,209.15252,-7.1433042e-13
0.091253000,195.06399,209.34850,-7.1467598e-13
0.092253000,194.95401,209.54636,-7.1502495e-13
0.093253000,194.84276,209.74609,-7.1537733e-13
0.094253000,194.73022,209.94770,-7.1573311e-13
0.095253000,194.61640,210.15116,-7.1609228e-13
0.096253000,194.50129,210.35648,-7.1645484e-13
0.097253000,194.38490,210.56364,-7.1682077e-13
0.098253000,194.26720,210.77265,-7.1719006e-13
0.099253000,194.14821,210.98348,-7.1756272e-13
0.10025300,194.02792,211.19615,-7.1793872e-13
0.10125300,193.90632,211.41064,-7.1831806e-13
0.10225300,193.78341,211.62694,-7.1870073e-13
0.10325300,193.65919,211.84504,-7.1908672e-13
0.10425300,193.53366,212.06495,-7.1947603e-13
0.10525300,193.40681,212.28664,-7.1986864e-13
0.10625300,193.27863,212.51013,-7.2026455e-13
0.10725300,193.14913,212.73539,-7.2066374e-13
0.10825300,193.01830,212.96242,-7.2106622e-13
