X:Vel_RZ-Body5-slider_crank(rad/s),Y:Vel_RZ-Body5-slider_crank(rad/s)
0.0000000,5.9999960e-06
0.0010130000,0.012143719
0.0020370000,0.024394339
0.0030610000,0.036620088
0.0040850000,0.048820278
0.0051090000,0.060995302
0.0061330000,0.073146733
0.0071570000,0.085271425
0.0081810000,0.097370952
0.0092050000,0.10944531
0.010229000,0.12149451
0.011253000,0.13351854
0.012253000,0.14524239
0.013253000,0.15693630
0.014253000,0.16860622
0.015253000,0.18025215
0.016253000,0.19187408
0.017253000,0.20347201
0.018253000,0.21504594
0.019253000,0.22659586
0.020253000,0.23812179
0.021253000,0.24962372
0.022253000,0.26110165
0.023253000,0.27255558
0.024253000,0.28398550
0.025253000,0.29539143
0.026253000,0.30677336
0.027253000,0.31813129
0.028253000,0.32946522
0.029253000,0.34077514
0.030253000,0.35206107
0.031253000,0.36332300
0.032253000,0.37456093
0.033253000,0.38577486
0.034253000,0.39696478
0.035253000,0.40813071
0.036253000,0.41927264
0.037253000,0.43039057
0.038253000,0.44148450
0.039253000,0.45255442
0.040253000,0.46360035
0.041253000,0.47462228
0.042253000,0.48562021
0.043253000,0.49659414
0.044253000,0.50754406
0.045253000,0.51846999
0.046253000,0.52937192
0.047253000,0.54024985
0.048253000,0.55110378
0.049253000,0.56193370
0.050253000,0.57273963
0.051253000,0.58352156
0.052253000,0.59427949
0.053253000,0.60501342
0.054253000,0.61572334
0.055253000,0.62640927
0.056253000,0.63707120
0.057253000,0.64770913
0.058253000,0.65832306
0.059253000,0.66891298
0.060253000,0.67947891
0.061253000,0.69002084
0.062253000,0.70053877
0.063253000,0.71103270
0.064253000,0.72150262
0.065253000,0.73194855
0.066253000,0.74237048
0.067253000,0.75276841
0.068253000,0.76314234
0.069253000,0.77349226
0.070253000,0.78381819
0.071253000,0.79412012
0.072253000,0.80439805
0.073253000,0.81465198
0.074253000,0.82488190
0.075253000,0.83508783
0.076253000,0.84526976
0.077253000,0.85542769
0.078253000,0.86556162
0.079253000,0.87567154
0.080253000,0.88575747
0.081253000,0.89581940
0.082253000,0.90585733
0.083253000,0.91587126
0.084253000,0.92586118
0.085253000,0.93582711
0.086253000,0.94576904
0.087253000,0.95568697
0.088253000,0.96558090
0.089253000,0.97545082
0.090253000,0.98529675
0.091253000,0.99511868
0.092253000,1.0049166
0.093253000,1.0146905
0.094253000,1.0244405
0.095253000,1.0341664
0.096253000,1.0438683
0.097253000,1.0535462
0.098253000,1.0632002
0.099253000,1.0728301
0.10025300,1.0824360
0.10125300,1.0920180
0.10225300,1.1015759
0.10325300,1.1111098
0.10425300,1.1206197
